UNIT_LINK,lith_rank,lith1,lith2,lith3,lith4,lith5,low_lith,lith_form,lith_com
TNOrd;8,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,Calcareous, 
TNOs;10,Major,Sedimentary,Carbonate,Limestone,,,Limestone,, 
TNOs;10,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
TNOs;14,Major,Sedimentary,Carbonate,Limestone,,,Limestone,, 
TNOs;14,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
TNOs;14,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
TNOsv;10,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
TNOsv;10,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
TNOsv;10,Incidental,Sedimentary,Clastic,Conglomerate,,,Conglomerate,, 
TNOsv;10,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
TNOsv;10,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,, 
TNOsv;14,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
TNOsv;14,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
TNOsv;14,Incidental,Sedimentary,Clastic,Conglomerate,,,Conglomerate,, 
TNOsv;14,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
TNOsv;14,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,, 
TNOu;6,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
TNOu;6,Major,Sedimentary,Carbonate,Limestone,,,Limestone,, 
TNOu;8,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,Calcareous, 
TNOu;8,Incidental,Sedimentary,Clastic,Mudstone,,,Mudstone,, 
TNOu;8,Major,Sedimentary,Carbonate,Limestone,,,Limestone,,locally dolomitic 
TNPAcf;12,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
TNPAcf;12,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
TNPAcf;12,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
TNPAcf;12,Incidental,Sedimentary,Coal,,,,Coal,, 
TNPAcf;8,Incidental,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
TNPAcf;8,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
TNPAcf;8,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
TNPAcf;8,Incidental,Sedimentary,Clastic,Conglomerate,,,Conglomerate ,,
TNPAcf;8,Incidental,Sedimentary,Coal,,,,Coal ,,
TNPAcg;12,Incidental,Sedimentary,Coal,,,,Coal ,,
TNPAcg;12,Incidental,Sedimentary,Clastic,Siltstone,,,Siltstone ,,
TNPAcg;12,Major,Sedimentary,Clastic,Sandstone,,,Sandstone ,,
TNPAcg;12,Minor,Sedimentary,Clastic,Conglomerate,,,Conglomerate ,,
TNPAcg;12,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNPAcg;8,Minor,Sedimentary,Clastic,Conglomerate,,,Conglomerate ,,
TNPAcg;8,Major,Sedimentary,Clastic,Sandstone,,,Sandstone ,,
TNPAcg;8,Incidental,Sedimentary,Clastic,Siltstone,,,Siltstone ,,
TNPAcg;8,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNPAcg;8,Incidental,Sedimentary,Coal,,,,Coal ,,
TNPAcm;12,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNPAcm;12,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone ,,
TNPAcm;12,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone ,,
TNPAcm;12,Incidental,Sedimentary,Coal,,,,Coal ,,
TNPAcm;8,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
TNPAcm;8,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
TNPAcm;8,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
TNPAcm;8,Incidental,Sedimentary,Coal,,,,Coal,, 
TNPAco;3,Major,Sedimentary,Clastic,Conglomerate,,,Conglomerate,, 
TNPAco;3,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
TNPAco;8,Incidental,Sedimentary,Coal,,,,Coal,, 
TNPAco;8,Major,Sedimentary,Clastic,Conglomerate,,,Conglomerate,, 
TNPAco;8,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
TNPAco;8,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
TNPAco;8,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
TNPAf;8,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
TNPAf;8,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
TNPAf;8,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
TNPAg;3,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,,locally conglomeratic 
TNPAg;3,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone ,,
TNPAg;3,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNPAg;3,Incidental,Sedimentary,Coal,,,,Coal ,,
TNPAg;8,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNPAib;12,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNPAg;8,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone ,,
TNPAg;8,Major,Sedimentary,Clastic,Sandstone,,,Sandstone ,,
TNPAg;8,Incidental,Sedimentary,Clastic,Conglomerate,,,Conglomerate ,,
TNPAg;8,Incidental,Sedimentary,Coal,,,,Coal ,,
TNPAgg;12,Incidental,Sedimentary,Coal,,,,Coal ,,
TNPAgg;12,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone ,,
TNPAgg;12,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone ,,
TNPAgg;12,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNPAgg;8,Incidental,Sedimentary,Coal,,,,Coal ,,
TNPAgg;8,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNPAgg;8,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone ,,
TNPAgg;8,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone ,,
TNPAib;12,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone ,,
TNPAib;12,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone ,,
TNPAib;12,Incidental,Sedimentary,Coal,,,,Coal ,,
TNPAib;8,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone ,,
TNPAib;8,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNPAib;8,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone ,,
TNPAib;8,Incidental,Sedimentary,Coal,,,,Coal ,,
TNPAr;8,Major,Sedimentary,Clastic,Sandstone,,,Sandstone ,,
TNPAr;8,Incidental,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNPAr;8,Incidental,Sedimentary,Coal,,,,Coal ,,
TNPAr;8,Major,Sedimentary,Clastic,Conglomerate,,,Conglomerate ,,
TNPArm;12,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone ,,
TNPArm;12,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone ,,
TNPArm;12,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNPArm;12,Incidental,Sedimentary,Coal,,,,Coal ,,
TNPArm;8,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
TNPArm;8,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
TNPArm;8,Minor,Sedimentary,Coal,,,,Coal,,includes several important coals from Pewee coal to Windrock coal 
TNPArm;8,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
TNPAsl;12,Minor,Sedimentary,Coal,,,,Coal,,several important coals 
TNPAsl;12,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
TNPAsl;12,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
TNPAsl;12,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
TNPAsl;8,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
TNPAsl;8,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
TNPAsl;8,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
TNPAvm;12,Minor,Sedimentary,Coal,,,,Coal,, 
TNPAvm;12,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
TNPAvm;12,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
TNPAvm;12,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
TNPAvm;8,Minor,Sedimentary,Coal,,,,Coal,, 
TNPAvm;8,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
TNPAvm;8,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
TNPAvm;8,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
TNpCAb;15,Major,Igneous,Plutonic,Granitic,Granite,,Granite,, 
TNpCAb;15,Minor,Igneous,Plutonic,Granitic,Leucocratic-granitic,Pegmatite,Pegmatite,, 
TNpCAba;15,Major,Metamorphic,Metaigneous,Metaintrusive,Metagabbro,,Metagabbro,, 
TNpCAba;15,Minor,Igneous,Plutonic,Dioritic,Diorite,,Diorite,, 
TNpCAba;15,Minor,Igneous,Plutonic,Anorthosite,,,Anorthosite,, 
TNpCAba;15,Minor,Igneous,Volcanic,Mafic-volcanic,Basalt,,Basalt,Diabase, 
TNpCAc;15,Minor,Igneous,Plutonic,Dioritic,Diorite,,Diorite,, 
TNpCAc;15,Minor,Igneous,Plutonic,Dioritic,Monzodiorite,,Monzodiorite,, 
TNpCAc;15,Minor,Metamorphic,Migmatite,,,,Migmatite,, 
TNpCAc;15,Minor,Metamorphic,Schist,,,,Schist,,"mica schist, hornblende schist "
TNpCAc;15,Minor,Metamorphic,Gneiss,,,,Gneiss,,granitic gneisses 
TNpCAc;15,Minor,Metamorphic,Metaigneous,Greenstone,,,Greenstone,, 
TNpCAc;15,Incidental,Igneous,Plutonic,Granitic,Leucocratic-granitic,Pegmatite,Pegmatite,, 
TNpCAca;15,Major,Metamorphic,Metasedimentary,Metaclastic,Metasandstone,,Metasandstone,,metasandstone 
TNpCAca;15,Minor,Metamorphic,Metasedimentary,Metaclastic,Metasiltstone,,Metasiltstone,,metasiltstone 
TNpCAca;15,Minor,Metamorphic,Metasedimentary,Metaclastic,Slate,,Slate,, 
TNpCAg;11,Minor,Sedimentary,Clastic,Conglomerate,,,Conglomerate,, 
TNpCAg;11,Major,Sedimentary,Clastic,Sandstone,Graywacke,,Graywacke,, 
TNpCAg;11,Minor,Sedimentary,Clastic,Sandstone,Arkose,,Arkose,, 
TNpCAg;11,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
TNpCAg;11,Minor,Metamorphic,Metasedimentary,Metaclastic,Slate,,Slate,, 
TNPCAg;15,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
TNPCAg;15,Major,Sedimentary,Clastic,Sandstone,Graywacke,,Graywacke,, 
TNPCAg;15,Minor,Sedimentary,Clastic,Sandstone,Arkose,,Arkose,, 
TNPCAg;15,Minor,Sedimentary,Clastic,Conglomerate,,,Conglomerate,, 
TNPCAg;15,Minor,Metamorphic,Metasedimentary,Metaclastic,Slate,,Slate,, 
TNSrc;12,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale, ,
TNSc;12,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
TNTcw;1,Incidental,Sedimentary,Coal,Lignite,,,Lignite, ,
TNTcw;1,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,, 
TNTcw;1,Minor,Unconsolidated,Fine-detrital,Clay,,,Clay,,"silty clay, lignitic clay "
TNTj;1,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,, 
TNTj;1,Minor,Unconsolidated,Fine-detrital,Clay,,,Clay,, 
TNTj;1,Minor,Unconsolidated,Fine-detrital,Silt,,,Silt,, 
TNTm;1,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,,glauconitic clay 
TNTm;1,Minor,Unconsolidated,Coarse-detrital,Sand,,,Sand,,"glauconitic sand, locally fossiliferous "
TNSc;12,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
TNSc;12,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
TNSr;10,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone, ,
TNSr;10,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone, ,
TNSr;10,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale, ,
TNSr;10,"Indeterminate, major",Sedimentary,Clastic,Mudstone,Shale,,Shale,Calcareous ,
TNSr;10,"Indeterminate, major",Sedimentary,Clastic,Siltstone,,,Siltstone,Calcareous ,
TNSr;10,Major,Sedimentary,Carbonate,Limestone,,,Limestone, ,
TNSr;12,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale, ,
TNSr;12,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone, ,
TNSr;12,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone, ,
TNSrc;10,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale, ,
TNSrc;10,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone, ,
TNSrc;10,Major,Sedimentary,Clastic,Sandstone,,,Sandstone, ,
TNSrc;12,Major,Sedimentary,Clastic,Sandstone,,,Sandstone, ,
TNTm;1,Incidental,Sedimentary,Carbonate,Limestone,,,Limestone,,impure fossiliferous limestone 
TNOch;13,Minor,Sedimentary,Clastic,,,,Clastic, ,
TND;4,Minor,Sedimentary,Chemical,Chert,,,Chert,, 
TNOo;10,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,Calcareous, 
TNSrc;12,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone, ,
TNPAf;8,Incidental,Sedimentary,Coal,,,,Coal,, 
TNOs;10,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
TNwater;0,Major,Water,,,,,Water,, 
TNMDSO;10,Minor,Sedimentary,Chemical,Chert,,,Chert,, 
TNMsw;8,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
TNPAsl;8,Minor,Sedimentary,Coal,,,,Coal,, 
TNTj;1,Minor,Sedimentary,Coal,Lignite,,,Lignite,, 
TNCAc;11,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
TNCAc;11,Minor,Sedimentary,Carbonate,Limestone,,,Limestone,, 
TNCAc;11,Incidental,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
TNCAc;11,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
TNCAc;11,Minor,Sedimentary,Carbonate,Dolostone,,,Dolostone,, 
TNCAc;13,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone,, 
TNCAc;13,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
TNCAc;14,Major,Sedimentary,Carbonate,Limestone,,,Limestone,, 
TNCAc;14,Minor,Sedimentary,Carbonate,Dolostone,,,Dolostone,, 
TNCAc;14,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
TNCAc;14,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
TNCAcc;14,Minor,Sedimentary,Carbonate,Dolostone,,,Dolostone,, 
TNCAcc;14,Major,Sedimentary,Carbonate,Limestone,,,Limestone,, 
TNCAch;11,Incidental,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
TNCAch;11,Incidental,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
TNCAch;11,Minor,Sedimentary,Clastic,Sandstone,Arkose,,Arkose ,,
TNCAch;11,Major,Sedimentary,Clastic,Conglomerate,,,Conglomerate ,,
TNCAch;11,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone ,,
TNCAch;14,Incidental,Sedimentary,Clastic,Siltstone,,,Siltstone ,,
TNCAch;14,Major,Sedimentary,Clastic,Conglomerate,,,Conglomerate ,,
TNCAch;14,Minor,Sedimentary,Clastic,Sandstone,Arkose,,Arkose ,,
TNCAch;14,Incidental,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
