UNIT_LINK,lith_rank,lith1,lith2,lith3,lith4,lith5,low_lith,lith_form,lith_com
TNCAn;14,Minor,Sedimentary,Carbonate,Limestone,,,Limestone ,,
TNCAn;14,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNCAn;14,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone ,,
TNCAnb;11,Major,Metamorphic,Quartzite,,,,Quartzite ,,
TNCAnb;14,Major,Metamorphic,Quartzite,,,,Quartzite ,,
TNCAni;11,Minor,Metamorphic,Quartzite,,,,Quartzite ,,
TNCAni;11,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNCAni;11,Major,Sedimentary,Clastic,Siltstone,,,Siltstone ,,
TNCAni;14,Minor,Metamorphic,Quartzite,,,,Quartzite ,,
TNCAni;14,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNCAni;14,Major,Sedimentary,Clastic,Siltstone,,,Siltstone ,,
TNCApv;14,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone ,,
TNCApv;14,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNCAr;11,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone ,,
TNCAr;11,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone ,,
TNCAr;11,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNCAr;14,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNCAr;14,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone ,,
TNCAr;14,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone ,,
TNCAr;14,Minor,Sedimentary,Carbonate,Dolostone,,,Dolostone ,,
TNCAr;14,Minor,Sedimentary,Carbonate,Limestone,,,Limestone ,,
TNCArg;14,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNCArg;14,Incidental,Sedimentary,Carbonate,Limestone,,,Limestone ,,
TNCArt;14,Minor,Sedimentary,Carbonate,Dolostone,,,Dolostone ,,
TNCArt;14,Major,Sedimentary,Carbonate,Limestone,,,Limestone ,,
TNCAs;11,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
TNCAs;11,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone ,,
TNCAs;11,Major,Sedimentary,Carbonate,Limestone,,,Limestone ,,
TNCAs;14,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone ,,
TNCAs;14,Major,Sedimentary,Carbonate,Limestone,,,Limestone ,,
