site_name,sample_id,sample_date,sample_time,sampled_by,flow,flow_status,medium,depth,SpC,pH,temp,DOC,TC,Mg,Ca,Cl,NO3,PO4,SO4,Be,Na,Al,Si,K ,Ti,V ,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Sr,Y ,Mo,Ag,Cd,Sn,Sb,Ba,La,Pr,Ce,Nd,Sm,Gd_158,Tb,Gd_160,Dy,Ho,Er,Tm,Yb,Lu,Tl,Pb,Th,U 
EFK18.2,WaDE_122,6/23/23,08:50,Brooks,Y,F,WS,37.5,389,7.68,18.65,1.57,36.65693089,62.70554325,12.17964114,9.449773104,1.301862866,-0.076649746,21.05862623,0.012,9608.605,6.733,3450.531,2394.81,0.104,0.615,0.251,15.36,8.536,0.063,0.292,1.029,1.142,0.284,0.422,131.969,0.004,6.195,0.003,0.019,-0.001,0.177,38.885,0.001,0,0.002,0.002,0,0.001,0,0.001,0.001,0,0.001,0,0.001,0,0.009,0.021,0,1.588023074
Mill Branch,WaDE_123,6/23/23,09:55,Brooks,Y,F,WS,21,189,7.55,17.44,2.235,20.52053611,31.7717908,4.477610308,1.956680453,0.207243097,-0.076649746,5.808697261,0.017,2521.57,6.657,5670.87,2155.836,0.11,0.196,0.089,17.54,35.513,0.066,0.411,0.33,0.443,0.203,0.137,62.959,0.004,0.151,0.002,0.004,0.003,0.03,21.413,0.002,0.001,0.006,0.005,0.001,0.001,0,0.001,0.001,0,0.001,0,0.001,0,0.006,0.025,0,0.017350335
EFK11.3,WaDE_124,6/23/23,10:22,Brooks,Y,F,WS,35,359,7.7,19.08,3.102,33.04943312,56.39834126,8.785601268,12.51512919,2.699608108,0.594923858,14.10850601,0.011,11197.196,5.452,3152.434,3157.692,0.136,0.578,0.182,9.718,17.399,0.075,0.607,1.366,3.258,0.272,0.485,107.612,0.003,5.885,0.003,0.019,0.018,0.227,27.618,0.001,0,0.003,0.002,0.001,0.006,0,0.006,0.001,0,0.001,0,0.001,0,0.007,0.049,0,0.718741216
EFK10.0,WaDE_125,6/23/23,11:11,Brooks,Y,F,WS,43,337,7.7,18.88,2.213,32.71731428,53.9216683,8.831746152,10.77809407,2.340348287,0.505380711,12.52611257,0.013,9692.924,7.892,3331.965,2899.845,0.153,0.566,0.176,13.022,16.351,0.079,2.503,1.149,3.172,0.275,0.326,100.46,0.003,4.916,0.002,0.019,0.016,0.202,29.227,0.001,0,0.002,0.002,0,0.005,0,0.005,0.001,0,0,0,0.001,0,0.007,0.041,0,0.586961247
Gum Hollow,WaDE_126,6/23/23,10:49,Brooks,Y,F,WS,47.5,239,7.74,17.75,2.174,25.78862809,43.65604849,5.312764704,1.763676552,0.201629662,-0.076649746,6.972221851,0.014,2444.169,7.86,5926.141,1871.34,0.112,0.237,0.04,30.442,23.196,0.066,0.586,0.247,-0.652,0.225,0.119,75.725,0.003,0.198,0.002,0.003,0,0.027,24.304,0.001,0.001,0.003,0.002,0,0.001,0,0.001,0.001,0,0,0,0,0,0.007,0.009,0,0.015223467
Pinhook Branch,WaDE_127,6/23/23,11:56,Brooks,Y,F,WS,37,236,7.79,18.78,1.812,24.43724797,40.60276515,5.870525461,2.183743867,0.207243097,-0.076649746,9.904303821,0.014,2990.201,25.484,5488.691,1951.059,0.096,0.158,0.024,20.641,13.234,0.059,0.838,0.386,-1.304,0.244,0.15,66.384,0.003,0.458,0.003,0.006,0.002,0.041,22.439,0.001,0,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0.017,0.007,0,0.029665099
EFK7.9,WaDE_128,6/23/23,12:32,Brooks,Y,F,WS,47,342,7.76,19.39,2.444,32.76312377,52.48497668,8.646264282,10.77809407,2.435776677,0.594923858,12.41751694,0.012,9964.38,8.188,3234.407,2968.207,0.149,0.598,0.183,12.814,16.664,0.085,0.608,1.177,2.633,0.286,0.413,99.963,0.003,4.461,0.003,0.02,0.011,0.217,28.828,0.001,0,0.002,0.002,0,0.005,0,0.005,0.001,0,0,0,0.001,0,0.007,0.046,0,0.567190802
EFK5.4,WaDE_129,6/23/23,12:56,Brooks,Y,F,WS,27,337,7.76,19.44,2.94,30.78186309,52.33314698,8.35119474,10.91433212,2.86801115,0.818781726,12.12275737,0.014,10346.458,5.985,3051.588,3096.422,0.143,0.627,0.188,11.72,16.204,0.085,0.662,1.245,2.995,0.3,0.404,96.221,0.003,3.016,0.002,0.019,0.019,0.231,27.269,0.001,0,0.003,0.002,0.001,0.006,0,0.006,0,0,0,0,0.001,0,0.008,0.047,0,0.457908404
NBO5,WaDE_130,6/23/23,13:43,Brooks,N,P,WS,11.5,320,7.01,17.69,3.136,40.40185714,62.93379462,6.435916098,0.889482409,0.190402793,-0.076649746,3.388566111,0.016,923.234,3.272,3532.801,857.562,0.256,0.316,0.065,54.829,18.077,0.229,0.248,0.486,1.063,0.283,0.143,69.178,0.006,0.073,0.003,0.007,0.001,0.055,21.375,0.007,0.002,0.018,0.008,0.002,0.002,0,0.002,0.001,0,0.001,0,0.001,0,0.004,0.023,0,0.01575052
Bear Creek,WaDE_131,6/23/23,14:07,Brooks,Y,F,WS,28.5,349,8.02,19.54,2.406,34.06869439,53.34004876,13.20954686,8.314456036,1.066098608,-0.076649746,15.70641311,0.012,8439.667,4.321,5280.761,2056.212,0.116,0.382,0.105,29.563,19.032,0.085,0.494,0.438,-1.219,0.27,0.118,123.443,0.004,0.507,0.002,0.007,0.002,0.06,68.524,0.002,0.001,0.003,0.003,0.001,0.001,0,0.001,0.001,0,0,0,0,0,0.005,0.015,0,2.239234416
EFK2.0,WaDE_132,6/23/23,14:32,Brooks,Y,F,WS,NA,340,7.8,19.51,2.916,31.27431517,53.29010009,9.084907638,10.25584822,3.036414191,0.729238579,13.36385027,0.013,10485.452,4.178,3119.87,3006.18,0.143,0.659,0.174,13.743,15.193,0.09,0.573,1.172,2.374,0.324,0.293,99.506,0.003,2.646,0.003,0.02,0.013,0.201,29.594,0.001,0,0.002,0.002,0,0.004,0,0.005,0.001,0,0,0,0,0,0.007,0.039,0,0.672481665
NBO2,WaDE_133,6/23/23,15:02,Brooks,N,P,WS,66.5,330,7.66,19.39,3.101,32.66005241,53.02409049,9.809280715,7.985214086,1.812685424,0.460609137,12.74330382,0.013,8273.093,4.352,3269.443,2600.734,0.042,0.727,0.157,46.25,10.507,0.136,1.006,1.041,1.717,0.372,0.288,102.718,0.003,3.066,0.003,0.021,0.011,0.147,28.154,0.001,0,0.003,0.002,0,0.002,0,0.002,0.001,0,0,0,0,0,0.007,0.032,0,0.814915752
NBO3,WaDE_134,6/23/23,15:23,Brooks,Y,F,WS,6,132,7.9,20.56,0.929,17.70325214,16.49918803,8.339180099,0.946248263,0.134268446,-0.076649746,1.092544252,0.013,593.728,2.417,4668.376,792.508,0.033,0.333,0.04,2.341,5.896,0.025,1.982,0.149,-0.233,0.287,0.121,17.754,0.001,0.292,0.009,0.001,0,0.029,67.443,0.001,0,0.002,0.001,0,0,0,0,0,0,0,0,0,0,0.013,0.008,0,0.005231252
MTN1.1,WaDE_62,6/23/23,08:56,Berens,Y,F,WS,10,317.1,7.21,16.54,0.908427679,53.1254445,60.05133567,11.13947781,6.180059947,0.6282507,-0.076649746,3.667812013,0.016,4837.061,2.273,4652.973,1439.301,0.045,0.322,0.122,96.153,5.503,0.189,0.189,0.18,0.25,0.144,0.255,66.549,0.003,0.145,0.011,0.014,0.026,0.038,28.692,0.002,0.001,0.003,0.003,0.001,0.001,0,0.001,0,0,0,0,0,0,0.021,0.013,0,0.032
EFK13.8,WaDE_63,6/23/23,09:30,Berens,Y,F,WS,NA,305.3,8.28,18.56,1.921,13.38570719,53.60791756,8.085149299,6.111940923,0.847174654,-0.076649746,13.36385027,0.015,6730.122,5.877,4385.688,2099.717,0.105,0.618,0.222,24.873,18.374,0.077,0.355,1.119,-0.584,0.263,0.415,106.975,0.004,7.133,0.007,0.02,0.018,0.175,30.989,0.002,0.001,0.003,0.003,0.001,0.001,0,0.001,0.001,0,0.001,0,0.001,0,0.013,0.033,0,0.865
