site_name,sample_id,sample_date,depth,medium,constituent,parameter,result_value,unit
EFK20.0,1002,5/12/23,0,WS,cations,Ca,59.71939499,MG/L
Downtown,1003,5/12/23,0,WS,cations,Ca,58.50598545,MG/L
EFK18.2,1004,5/12/23,0,WS,cations,Ca,58.15981901,MG/L
EFK16.2,1005,5/12/23,0,WS,cations,Ca,59.39549189,MG/L
Mill Branch,1006,5/12/23,0,WS,cations,Ca,35.86293957,MG/L
EFK13.8,1007,5/12/23,0,WS,cations,Ca,55.59771697,MG/L
EFK11.3,1008,5/12/23,0,WS,cations,Ca,54.60626879,MG/L
EFK10.0,1009,5/12/23,0,WS,cations,Ca,51.50250323,MG/L
Gum Hollow,1010,5/12/23,0,WS,cations,Ca,38.38295718,MG/L
EFK7.9,1011,5/12/23,0,WS,cations,Ca,50.98927291,MG/L
EFK5.4,1012,5/12/23,0,WS,cations,Ca,50.47934341,MG/L
Bear Creek ,1013,5/12/23,0,WS,cations,Ca,43.47377025,MG/L
EFK2.0,1014,5/12/23,0,WS,cations,Ca,49.18467638,MG/L
EFK23.4,1001,5/12/23,0,WS,cations,Na,18.70631221,MG/L
EFK20.0,1002,5/12/23,0,WS,cations,Na,12.33920102,MG/L
Downtown,1003,5/12/23,0,WS,cations,Na,5.27459333,MG/L
EFK18.2,1004,5/12/23,0,WS,cations,Na,10.23310911,MG/L
EFK16.2,1005,5/12/23,0,WS,cations,Na,9.831217098,MG/L
Mill Branch,1006,5/12/23,0,WS,cations,Na,2.861833407,MG/L
EFK13.8,1007,5/12/23,0,WS,cations,Na,8.669144119,MG/L
EFK11.3,1008,5/12/23,0,WS,cations,Na,16.35276495,MG/L
EFK10.0,1009,5/12/23,0,WS,cations,Na,14.76862077,MG/L
Gum Hollow,1010,5/12/23,0,WS,cations,Na,2.133702281,MG/L
EFK7.9,1011,5/12/23,0,WS,cations,Na,13.13589582,MG/L
EFK5.4,1012,5/12/23,0,WS,cations,Na,12.9666533,MG/L
Bear Creek ,1013,5/12/23,0,WS,cations,Na,5.111587787,MG/L
EFK2.0,1014,5/12/23,0,WS,cations,Na,9.935039219,MG/L
EFK23.4,1001,5/12/23,0,WS,cations,K,2.412009895,MG/L
EFK20.0,1002,5/12/23,0,WS,cations,K,2.489305469,MG/L
Downtown,1003,5/12/23,0,WS,cations,K,1.216095601,MG/L
EFK18.2,1004,5/12/23,0,WS,cations,K,2.157259108,MG/L
EFK16.2,1005,5/12/23,0,WS,cations,K,2.015100084,MG/L
Mill Branch,1006,5/12/23,0,WS,cations,K,1.844479128,MG/L
EFK13.8,1007,5/12/23,0,WS,cations,K,1.978994095,MG/L
EFK11.3,1008,5/12/23,0,WS,cations,K,4.896521911,MG/L
EFK10.0,1009,5/12/23,0,WS,cations,K,4.673297043,MG/L
Gum Hollow,1010,5/12/23,0,WS,cations,K,1.531680555,MG/L
EFK7.9,1011,5/12/23,0,WS,cations,K,4.044267506,MG/L
EFK5.4,1012,5/12/23,0,WS,cations,K,3.714820354,MG/L
Bear Creek ,1013,5/12/23,0,WS,cations,K,1.65924372,MG/L
EFK2.0,1014,5/12/23,0,WS,cations,K,2.980685736,MG/L
EFK23.4,1001,5/12/23,0,WS,cations,Mg,15.26439692,MG/L
EFK20.0,1002,5/12/23,0,WS,cations,Mg,14.79421365,MG/L
Downtown,1003,5/12/23,0,WS,cations,Mg,13.20698959,MG/L
EFK18.2,1004,5/12/23,0,WS,cations,Mg,14.51697596,MG/L
EFK16.2,1005,5/12/23,0,WS,cations,Mg,14.06120135,MG/L
Mill Branch,1006,5/12/23,0,WS,cations,Mg,7.472644998,MG/L
EFK13.8,1007,5/12/23,0,WS,cations,Mg,12.78919485,MG/L
EFK11.3,1008,5/12/23,0,WS,cations,Mg,12.226075,MG/L
EFK10.0,1009,5/12/23,0,WS,cations,Mg,12.56601218,MG/L
Gum Hollow,1010,5/12/23,0,WS,cations,Mg,6.317024526,MG/L
EFK7.9,1011,5/12/23,0,WS,cations,Mg,11.90115462,MG/L
EFK5.4,1012,5/12/23,0,WS,cations,Mg,11.39807845,MG/L
Bear Creek ,1013,5/12/23,0,WS,cations,Mg,13.43456887,MG/L
EFK2.0,1014,5/12/23,0,WS,cations,Mg,11.31172402,MG/L
