site_name,sampleID,sample_date,sample_time,sampled_by,flow,flow_status,medium,filter,depth,pH,SpC,temp,DO,DO_sat,canopy,DOC,TC,Cl,SO4,NH4,SRP,NO3,TP,Mn_OES,Fe_OES,P,Ca,Mg,Be,Na,Al,Si,K,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Sr,Y,Mo,Ag,Cd,Sn,Sb,Ba,La,Pr,Ce,Nd,Sm,Gd_158,Tb,Gd_160,Dy,Ho,Er,Tm,Yb,Lu,Tl,Pb,Th,U
EFK5.4,WaDE_147,8/15/23,14:20,Brooks,Y,F,WS,0.45,34.5,7.4,263,23.66,7.32,86.6,35,4.07,29.4291642,5.699476478,8.271949905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB-1,WaDE_148,8/15/23,14:35,Brooks,NA,NA,WSQ,0.45,NA,NA,NA,NA,NA,NA,NA,0.56,-0.132492065,-0.132492065,-0.132492065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear Creek,WaDE_149,8/15/23,14:55,Brooks,Y,F,WS,0.45,42,7.59,286,22.91,8.48,98.8,61,4.34,33.29040457,5.211371029,9.199776358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EFK2.0,WaDE_150,8/15/23,15:20,Brooks,Y,F,WS,0.45,113,7.44,260,23.5,6.79,78.9,52,4,27.1033347,5.563261004,8.067513568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSL1.3,WaDE_159,8/15/23,09:22,Herndon,Y,F,WS,0.22,21,7.11,327.7,21.57,7.27,82.6,0,3.72,41.92141245,8.673514326,4.875161533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSL1.2,WaDE_160,8/15/23,09:46,Herndon,Y,F,WS,0.22,26,7.41,357.4,24.25,7.14,85.2,0,5.18,45.47375359,4.96164266,12.2191438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSL1.1,WaDE_161,8/15/23,10:02,Herndon,Y,F,WS,0.22,18,7.45,344.3,23.12,7.99,93.4,0,4.3,44.02919543,7.095685086,7.595737405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSL8,WaDE_162,8/15/23,10:53,Herndon,Y,F,WS,0.22,2.5,7.01,111.7,23.23,6.06,70.9,100,3.87,16.90057486,1.431391627,1.84006822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSL4.1,WaDE_163,8/15/23,11:18,Herndon,Y,F,WS,0.22,4,7.18,276.9,22.89,5.04,58.7,98,4.65,40.9492884,2.237333181,3.129589731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSL4.2,WaDE_164,8/15/23,11:32,Herndon,Y,F,WS,0.22,15,7.25,275.7,22.81,5.94,69.2,95,4.6,40.65855972,2.396251234,3.208219091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSL7,WaDE_165,8/15/23,11:58,Herndon,N,P,WS,0.22,13,7.53,101.6,24.2,7.08,84.5,0,8.45,19.63524157,1.215717127,1.588454266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSL6,WaDE_166,8/15/23,12:19,Herndon,N,P,WS,0.22,9,6.53,309.2,23.18,1.78,20.8,100,7.59,NA,1.613012259,2.264666766,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSL3.3,WaDE_167,8/15/23,12:59,Herndon,Y,F,WS,0.22,10,7.32,432.6,23.02,6.9,80.6,50,1.66,42.98438921,33.65770251,3.821528103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSL3.2,WaDE_168,8/15/23,13:16,Herndon,Y,F,WS,0.22,14,7.11,315.32,19.36,7.91,86,50,1.43,40.26789304,4.110295948,4.62354758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSL3.1,WaDE_169,8/15/23,13:32,Herndon,Y,F,WS,0.22,9,7.36,392.2,21.84,7.4,84.4,80,1.68,39.94082327,23.89559354,4.041690312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSL2.1,WaDE_170,8/15/23,13:59,Herndon,Y,F,WS,0.22,30,7.52,364.6,22.72,7.88,91.5,60,2.58,41.97592408,11.32971607,5.598551649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSL2.3,WaDE_171,8/15/23,14:16,Herndon,Y,F,WS,0.22,14,7.53,369.5,21.67,7.87,89.5,80,1.74,38.88693178,17.00536082,4.40338537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSL2.2,WaDE_172,8/15/23,14:31,Herndon,Y,F,WS,0.22,11,7.28,367,24.59,8.81,105.9,0,3.41,45.14668381,3.826513711,7.532833916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FB-2,WaDE_173,8/15/23,14:45,Herndon,NA,NA,WSQ,0.22,NA,NA,NA,NA,NA,NA,NA,0.46,0.834180818,-0.132492065,-0.132492065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBK1,WaDE_183,8/15/23,09:22,Berens,Y,F,WS,0.22,20,7.21,243.3,16.73,NA,NA,64,3.01,37.91480774,4.121647238,3.428381301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBK2,WaDE_184,8/15/23,09:38,Berens,Y,F,WS,0.22,15,7.22,219.6,17.55,NA,NA,0,3.4,20.53468344,3.917324027,2.186037406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBK3,WaDE_185,8/15/23,10:22,Berens,Y,F,WS,0.22,5,7.56,122.8,20.58,NA,NA,56,2.46,16.0283888,3.406515999,1.777164731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCA4,WaDE_186,8/15/23,10:37,Berens,Y,F,WS,0.22,17,7.76,123.6,20.22,NA,NA,0,2.37,17.41843533,2.521115419,1.824342348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCA3.2,WaDE_187,8/15/23,11:02,Berens,Y,F,WS,0.22,8,7.05,24.67,19.56,NA,NA,86,1.69,2.323256809,2.645979603,3.334026068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCA3.3,WaDE_188,8/15/23,11:20,Berens,Y,F,WS,0.22,5,7.23,50.75,19.29,NA,NA,NA,1.66,5.207830496,2.475710261,4.576369963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
