#,DateTime,Temp (°C),Intensity (Lux)
1,9/26/23 08:37,21.855,0
2,9/26/23 08:47,22.717,0
3,9/26/23 08:57,22.812,0
4,9/26/23 09:07,22.621,0
5,9/26/23 09:17,22.046,0
6,9/26/23 09:27,21.473,0
7,9/26/23 09:37,21.187,0
8,9/26/23 09:47,21.187,0
9,9/26/23 09:57,21.187,0
10,9/26/23 10:07,21.282,0
11,9/26/23 10:17,21.187,0
12,9/26/23 10:27,21.569,0
13,9/26/23 10:37,20.519,0
14,9/26/23 10:47,20.234,0
15,9/26/23 10:57,20.329,0
16,9/26/23 11:07,20.519,0
17,9/26/23 11:17,20.805,0
18,9/26/23 11:27,20.996,0
19,9/26/23 11:37,21.187,0
20,9/26/23 11:47,21.473,0
21,9/26/23 11:57,21.664,0
22,9/26/23 12:07,22.429,0
23,9/26/23 12:17,24.158,0
24,9/26/23 12:27,23.388,0
25,9/26/23 12:37,23.484,0
26,9/26/23 12:47,23.869,0
27,9/26/23 12:57,23.677,0
28,9/26/23 13:07,23.773,0
29,9/26/23 13:17,23.966,0
30,9/26/23 13:27,24.641,0
31,9/26/23 13:37,31.268,0
32,9/26/23 13:47,36.62,0
33,9/26/23 13:57,32.086,0
34,9/26/23 14:07,27.862,0
35,9/26/23 14:17,26.097,0
36,9/26/23 14:27,25.319,0
37,9/26/23 14:37,25.805,0
38,9/26/23 14:47,26.292,0
39,9/26/23 14:57,25.416,0
40,9/26/23 15:07,26,0
41,9/26/23 15:17,26.585,0
42,9/26/23 15:27,25.416,0
43,9/26/23 15:37,25.125,0
44,9/26/23 15:47,26.683,0
45,9/26/23 15:57,26.195,0
46,9/26/23 16:07,24.835,0
47,9/26/23 16:17,24.351,0
48,9/26/23 16:27,23.869,0
49,9/26/23 16:37,23.677,0
50,9/26/23 16:47,23.388,0
51,9/26/23 16:57,23.196,0
52,9/26/23 17:07,23.1,0
53,9/26/23 17:17,23.004,0
54,9/26/23 17:27,22.812,0
55,9/26/23 17:37,22.621,0
56,9/26/23 17:47,22.429,0
57,9/26/23 17:57,22.238,0
58,9/26/23 18:07,21.951,0
59,9/26/23 18:17,21.76,0
60,9/26/23 18:27,21.569,0
61,9/26/23 18:37,21.473,0
62,9/26/23 18:47,21.282,0
63,9/26/23 18:57,21.091,0
64,9/26/23 19:07,20.996,0
65,9/26/23 19:17,20.805,0
66,9/26/23 19:27,20.71,0
67,9/26/23 19:37,20.519,0
68,9/26/23 19:47,20.424,0
69,9/26/23 19:57,20.234,0
70,9/26/23 20:07,20.138,0
71,9/26/23 20:17,19.948,0
72,9/26/23 20:27,19.853,0
73,9/26/23 20:37,19.662,0
74,9/26/23 20:47,19.567,0
75,9/26/23 20:57,19.472,0
76,9/26/23 21:07,19.282,0
77,9/26/23 21:17,19.187,0
78,9/26/23 21:27,19.092,0
79,9/26/23 21:37,19.092,0
80,9/26/23 21:47,18.996,0
81,9/26/23 21:57,18.901,0
82,9/26/23 22:07,18.901,0
83,9/26/23 22:17,18.806,0
84,9/26/23 22:27,18.616,0
85,9/26/23 22:37,18.616,0
86,9/26/23 22:47,18.521,0
87,9/26/23 22:57,18.521,0
88,9/26/23 23:07,18.521,0
89,9/26/23 23:17,18.426,0
90,9/26/23 23:27,18.426,0
91,9/26/23 23:37,18.426,0
92,9/26/23 23:47,18.331,0
93,9/26/23 23:57,18.331,0
94,9/27/23 00:07,18.236,0
95,9/27/23 00:17,18.236,0
96,9/27/23 00:27,18.14,0
97,9/27/23 00:37,18.045,0
98,9/27/23 00:47,18.045,0
99,9/27/23 00:57,18.045,0
100,9/27/23 01:07,18.045,0
101,9/27/23 01:17,18.14,0
102,9/27/23 01:27,18.14,0
103,9/27/23 01:37,18.14,0
104,9/27/23 01:47,18.14,0
105,9/27/23 01:57,18.14,0
106,9/27/23 02:07,18.045,0
107,9/27/23 02:17,18.045,0
108,9/27/23 02:27,18.045,0
109,9/27/23 02:37,17.95,0
110,9/27/23 02:47,17.95,0
111,9/27/23 02:57,17.95,0
112,9/27/23 03:07,17.855,0
113,9/27/23 03:17,17.855,0
114,9/27/23 03:27,17.855,0
115,9/27/23 03:37,17.76,0
116,9/27/23 03:47,17.76,0
117,9/27/23 03:57,17.76,0
118,9/27/23 04:07,17.76,0
119,9/27/23 04:17,17.665,0
120,9/27/23 04:27,17.665,0
121,9/27/23 04:37,17.57,0
122,9/27/23 04:47,17.57,0
123,9/27/23 04:57,17.475,0
124,9/27/23 05:07,17.379,0
125,9/27/23 05:17,17.379,0
126,9/27/23 05:27,17.284,0
127,9/27/23 05:37,17.284,0
128,9/27/23 05:47,17.189,0
129,9/27/23 05:57,17.094,0
130,9/27/23 06:07,16.618,0
131,9/27/23 06:17,16.427,0
