OBJECTID,GridCode,AreaSqKm,SHAPE_Leng,SHAPE_Area,Water,Developed,Forested,Agricultural,Sum
90856,187568,0.38850001,0.043393954,3.88309E-05,0,6,406,23,435
90940,239058,0.1441,0.02826736,1.44037E-05,0,155,10,0,165
91074,54659,0.73459999,0.050384996,7.34331E-05,15,782,3,16,816
91132,171091,0.318,0.030556933,3.17893E-05,0,122,213,19,354
91252,208643,0.38840001,0.042950615,3.88198E-05,0,5,429,0,434
91279,268465,0.01719999,0.007027801,1.71925E-06,1,5,13,0,19
91481,202285,0.0082,0.005688231,8.19623E-07,0,9,0,0,9
91501,259100,0.30539999,0.030651545,3.05285E-05,0,226,112,0,338
91630,236832,0.26729998,0.027517138,2.67175E-05,0,97,193,10,300
91672,91935,0.262,0.036718529,2.61885E-05,0,204,89,0,293
92068,129113,0.19230002,0.027232251,1.92186E-05,0,22,195,0,217
92080,129203,0.12570001,0.019778692,1.25629E-05,7,18,79,32,136
92081,110465,0.2839,0.028404061,2.83731E-05,2,20,293,0,315
92094,242045,0.322,0.034124495,3.21817E-05,0,4,341,13,358
92205,178715,0.16049998,0.026299611,1.60406E-05,0,1,176,0,177
92490,228372,0.34299999,0.031218372,3.42799E-05,0,26,306,53,385
92828,129108,0.1184,0.021246518,1.18341E-05,12,82,11,25,130
92974,244730,0.50519999,0.038876775,5.04934E-05,0,354,208,0,562
93116,157727,0.37339999,0.039542286,3.73201E-05,4,59,320,33,416
93203,245529,0.57519997,0.044159656,5.74931E-05,9,569,49,6,633
93234,110528,0.0014,0.002415542,1.3992E-07,0,0,2,0,2
93583,147633,0.21880002,0.027420452,2.18683E-05,28,43,86,83,240
93594,186247,0.41599999,0.042181929,4.15794E-05,0,377,76,6,459
93685,154562,0.3649,0.038373354,3.64804E-05,0,314,90,0,404
93716,110604,0.0031,0.003176806,3.09812E-07,0,0,2,0,2
93737,177167,0.23359998,0.025722258,2.33473E-05,4,2,228,26,260
93782,252790,0.64609998,0.049753979,6.4574E-05,0,502,195,16,713
93994,178415,0.0877,0.018514607,8.76456E-06,0,31,66,2,99
94096,202304,0.14249999,0.022013554,1.42402E-05,0,0,153,7,160
94391,91831,0.075,0.023520296,7.49504E-06,0,57,26,4,87
94497,54610,0.0072,0.005584018,7.19504E-07,0,6,0,0,6
94649,147631,0.39170001,0.038164524,3.91443E-05,23,20,325,68,436
94691,129112,1.01439998,0.060352732,0.000101396,72,760,235,54,1121
94699,110663,0.033,0.013869852,3.29913E-06,0,37,0,0,37
94805,36376,0.1707,0.022764578,1.70606E-05,0,75,101,9,185
94808,54796,0.36630002,0.031947594,3.66166E-05,9,280,109,5,403
94809,91928,0.0178,0.006441986,1.77925E-06,1,12,7,0,20
94989,211524,0.1293,0.019371523,1.29265E-05,0,125,18,0,143
95129,73247,0.30639999,0.036677595,3.06307E-05,0,341,0,0,341
95146,147832,0.029,0.010024517,2.89812E-06,0,5,24,0,29
95659,73153,0.0171,0.007019121,1.70891E-06,12,0,7,0,19
